address,type,date_notice,notice_number,district,neighborhood,pdf_path,text_path
403 E 31ST,Interior,2020-03-12,1888169A,,ABELL,data\pdf\ABELL\1888169A.pdf,data\text\ABELL\1888169A.txt
3016 VINEYARD,Exterior,2021-10-01,2045055A,NORTHERN,ABELL,data\pdf\ABELL\2045055A.pdf,data\text\ABELL\2045055A.txt
3126 GREENMOUNT,Exterior,2021-11-04,2056787A,NORTHERN,ABELL,data\pdf\ABELL\2056787A.pdf,data\text\ABELL\2056787A.txt
2958 GREENMOUNT,Vacant,2023-08-16,2287444A,NORTHERN,ABELL,data\pdf\ABELL\2287444A.pdf,data\text\ABELL\2287444A.txt
3120 GREENMOUNT,Interior/Exterior,2024-12-17,2466421A,NORTHERN,ABELL,data\pdf\ABELL\2466421A.pdf,data\text\ABELL\2466421A.txt
3242 BARCLAY,Exterior,2025-02-20,2478978A,NORTHERN,ABELL,data\pdf\ABELL\2478978A.pdf,data\text\ABELL\2478978A.txt
3246 ABELL,Interior,2025-03-04,2483517A,,ABELL,data\pdf\ABELL\2483517A.pdf,data\text\ABELL\2483517A.txt
3033 BARCLAY,Exterior,2025-03-19,2484872A,NORTHERN,ABELL,data\pdf\ABELL\2484872A.pdf,data\text\ABELL\2484872A.txt
3207 GUILFORD,Exterior,2025-04-30,2501992A,NORTHERN,ABELL,data\pdf\ABELL\2501992A.pdf,data\text\ABELL\2501992A.txt
3033 BARCLAY,Interior,2025-06-09,2522615A,,ABELL,data\pdf\ABELL\2522615A.pdf,data\text\ABELL\2522615A.txt
3911 EDMONDSON,Vacant,2014-01-15,1051205A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\1051205A.pdf,data\text\ALLENDALE\1051205A.txt
405 GWYNN,Vacant,2017-11-12,1608046A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\1608046A.pdf,data\text\ALLENDALE\1608046A.txt
4021 W FRANKLIN,Vacant,2018-06-20,1685522A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\1685522A.pdf,data\text\ALLENDALE\1685522A.txt
4001 EDMONDSON,Exterior,2018-07-12,1695629A,,ALLENDALE,data\pdf\ALLENDALE\1695629A.pdf,data\text\ALLENDALE\1695629A.txt
204 N GRANTLEY,Vacant,2018-08-17,1709598A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\1709598A.pdf,data\text\ALLENDALE\1709598A.txt
3409 EDMONDSON,Vacant,2018-09-06,1719376A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\1719376A.pdf,data\text\ALLENDALE\1719376A.txt
3727 EDMONDSON,Exterior,2018-10-24,1738041A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\1738041A.pdf,data\text\ALLENDALE\1738041A.txt
(Descriptive Address),Exterior,2019-04-02,1776488A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\1776488A.pdf,data\text\ALLENDALE\1776488A.txt
501 N ATHOL,Exterior,2020-07-09,1911540A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\1911540A.pdf,data\text\ALLENDALE\1911540A.txt
123 DENISON,Exterior,2020-09-28,1941979A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\1941979A.pdf,data\text\ALLENDALE\1941979A.txt
3717 EDMONDSON,Vacant,2021-02-11,1970603A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\1970603A.pdf,data\text\ALLENDALE\1970603A.txt
3506 W FRANKLIN,Vacant,2021-07-26,2023817A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\2023817A.pdf,data\text\ALLENDALE\2023817A.txt
327 LYNDHURST,Vacant,2022-04-13,2097020A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\2097020A.pdf,data\text\ALLENDALE\2097020A.txt
527 N EDGEWOOD,Vacant,2022-04-26,2100918A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\2100918A.pdf,data\text\ALLENDALE\2100918A.txt
4010 OLD FREDERICK,Interior,2023-03-01,2210780A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\2210780A.pdf,data\text\ALLENDALE\2210780A.txt
248 N HILTON,Vacant,2023-05-24,2247749A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\2247749A.pdf,data\text\ALLENDALE\2247749A.txt
(Descriptive Address),Exterior,2023-05-29,2249982A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\2249982A.pdf,data\text\ALLENDALE\2249982A.txt
(Descriptive Address),Exterior,2023-06-01,2251366A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\2251366A.pdf,data\text\ALLENDALE\2251366A.txt
3803 EDMONDSON,Vacant,2023-07-24,2275396A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\2275396A.pdf,data\text\ALLENDALE\2275396A.txt
409 LYNDHURST,Vacant,2024-04-14,2364008A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\2364008A.pdf,data\text\ALLENDALE\2364008A.txt
503 DENISON,Vacant,2024-08-18,2424818A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\2424818A.pdf,data\text\ALLENDALE\2424818A.txt
